areaCodeName,city,degreeName,detail_href,headCount,highMonthPay,jobId,jobName,keyUnits,location,lowMonthPay,publishDate,recId,recName,recProperty,recScale,recTags,sortPriority,updateDate,userType
天津,天津,本科,https://job.ncss.cn/student/jobs/SUHCzvc92LfTciY9pgL9T8/detail.html,2,10.0,SUHCzvc92LfTciY9pgL9T8,研发专员,0,天津市河东区北京市海淀区交大东路31号院D座,8.0,2020-03-05 18:21,593aca325aa04b60b611ff8e038ff576,中国能源建设集团电子商务有限公司,国有企业,100-499人,,0,2020-03-05 18:21,00
新疆,新疆乌鲁木齐,本科,https://job.ncss.cn/student/jobs/VUeg4xg2iPMLwX6wS8mC1U/detail.html,10,10.0,VUeg4xg2iPMLwX6wS8mC1U,金融科技岗,0,新疆乌鲁木齐市沙依巴克区黄河路2号招商银行大厦,8.0,2020-03-05 18:32,3iYMkJiDjTL6xddEXQvzi6,招商银行股份有限公司乌鲁木齐分行,股份制企业,500-999人,,0,2020-03-05 18:32,00
浙江,杭州,本科,https://job.ncss.cn/student/jobs/Tb89E2vGjfrJiWnZ3N5x25/detail.html,100,15.0,Tb89E2vGjfrJiWnZ3N5x25,安恒信息春招空宣|7号7点，不见不散,0,浙江省杭州市浙江省杭州市滨江区西兴街道联慧街188号安恒大厦,8.0,2020-03-05 18:44,45e9096f075a4fbda453f862774cbb2c,杭州安恒信息技术股份有限公司,民营企业,1000-4999人,,0,2020-03-05 18:44,00
天津,天津,本科,https://job.ncss.cn/student/jobs/Uh4kBSgwx5gzG64kMYMTWX/detail.html,2,10.0,Uh4kBSgwx5gzG64kMYMTWX,软件研发工程师,0,天津市河东区北京市海淀区交大东路31号院D座,8.0,2020-03-05 18:21,593aca325aa04b60b611ff8e038ff576,中国能源建设集团电子商务有限公司,国有企业,100-499人,,0,2020-03-05 18:21,00
北京,北京,硕士,https://job.ncss.cn/student/jobs/3BcNjAbv7dazwbun88EbzS/detail.html,10,50.0,3BcNjAbv7dazwbun88EbzS,软件工程师,0,北京市海淀区北京市海淀区上地信息产业基地四街9号,1.0,2020-03-05 17:33,-,北京四方继保自动化股份有限公司,上市公司,1000-4999人,,0,2020-03-05 17:33,11
广东,深圳,硕士,https://job.ncss.cn/student/jobs/2tit7t74iPDy8DkRT3oJsK/detail.html,5,14.0,2tit7t74iPDy8DkRT3oJsK,信息管理,0,广东省深圳市深圳市沿河北路2022号,10.0,2020-03-05 17:33,-,广东粤海水务股份有限公司,国有企业,1000-4999人,,0,2020-03-05 17:33,11
北京,北京,本科,https://job.ncss.cn/student/jobs/2ZZCcfbeZD3644sxyWmgnF/detail.html,5,12.0,2ZZCcfbeZD3644sxyWmgnF,软件岗位,0,北京市海淀区北京广利核系统工程有限公司,6.0,2020-03-05 17:33,-,北京广利核系统工程有限公司,国有企业,500-999人,,0,2020-03-05 17:33,11
北京,北京,专科,https://job.ncss.cn/student/jobs/2c1C8UWjZatmWZ16EcA4p4/detail.html,10,50.0,2c1C8UWjZatmWZ16EcA4p4,联想拯救者系列在线技术支持工程师,0,北京市海淀区北京市海淀区联想总部西区,1.0,2020-03-05 17:33,-,联想教育科技(北京)有限公司,民营企业,5000以上,,0,2020-03-05 17:33,11
山东,烟台,本科,https://job.ncss.cn/student/jobs/37kE5Pg4WxetCyq3KVsV6u/detail.html,10,50.0,37kE5Pg4WxetCyq3KVsV6u,算法工程师,0,山东省烟台市山东省烟台市芝罘区机场路2号,1.0,2020-03-05 17:33,-,东方电子股份有限公司,国有企业,1000-4999人,,0,2020-03-05 17:33,11
北京,北京,本科,https://job.ncss.cn/student/jobs/32tetLdzR76WAy9prWzJUY/detail.html,4,50.0,32tetLdzR76WAy9prWzJUY,计算机、信息管理与信息系统管理,0,北京市朝阳区北京市朝阳区安外胜古庄2号,1.0,2020-03-05 17:33,-,北京中冶设备研究设计总院有限公司,国有企业,500-999人,,0,2020-03-05 17:33,11
